time, x0, y0, z0, x1, y1, z1 
0.07500, -0.45570, -2.63929, 2.48989, 0.33812, -0.08059, 0.51140  
0.07600, -0.37497, -2.49060, 2.34076, 0.26762, -0.06584, 0.50947  
0.07700, -0.37743, -2.37232, 2.31644, 0.24994, -0.07812, 0.49809  
0.07800, -0.40817, -2.32704, 2.34076, 0.21446, -0.09689, 0.50089  
0.07900, -0.52567, -2.63554, 2.29111, 0.16083, -0.06510, 0.53547  
0.08000, -0.55618, -2.77908, 2.29540, 0.20264, -0.09306, 0.52341  
0.08100, -0.47970, -2.61517, 2.11828, 0.23935, -0.08118, 0.52221  
0.08200, -0.44180, -2.33459, 2.07464, 0.20920, -0.09138, 0.53629  
0.08300, -0.24935, -2.51051, 2.03657, 0.21631, -0.07925, 0.53444  
0.08400, -0.35812, -2.54139, 1.96749, 0.23428, -0.08938, 0.56540  
0.08500, -0.40960, -2.41205, 1.87723, 0.25515, -0.09150, 0.57333  
0.08600, -0.47218, -2.08414, 1.70889, 0.28753, -0.07380, 0.57198  
0.08700, -0.18900, -2.10655, 1.49467, 0.48115, -0.03397, 0.56616  
0.08800, -0.10469, -2.16257, 1.38590, 0.24271, -0.06599, 0.63663  
0.08900, -0.41492, -1.76241, 1.39603, 0.16680, -0.02419, 0.60635  
0.09000, -0.25522, -1.30894, 1.05804, 0.37481, -0.07845, 0.56696  
0.09100, -0.38879, -1.14332, 0.82706, 0.41422, -0.03847, 0.63889  
0.09200, -0.01215, -1.36974, 0.53354, 0.36854, -0.05190, 0.64100  
0.09300, 0.09514, -0.98911, 0.47716, 0.48569, 0.02077, 0.67860  
0.09400, -0.55506, -0.48889, 0.34946, -0.18934, 0.09842, 0.85400  
0.09500, -0.73162, -0.51579, 0.36020, -0.26014, 0.05531, 0.76397  
0.09600, -0.38879, -0.60671, 0.27473, 0.16674, -0.01080, 0.68775  
0.09700, -0.00708, -0.34773, 0.13493, 0.45822, -0.02724, 0.61810  
0.09800, -0.10698, -0.10303, -0.13287, 0.26199, -0.00196, 0.73128  
0.09900, -0.49673, 0.06109, -0.09285, 0.25511, 0.01778, 0.71003  
0.10000, -0.06773, -0.24363, -0.14683, 0.35479, -0.01259, 0.68327  
0.10100, -0.03216, -0.21467, -0.15820, 0.40150, 0.01656, 0.76811  
0.10200, -0.63564, 0.14223, -0.15539, -0.01812, 0.03160, 0.73467  
0.10300, -0.26588, 0.36629, -0.26924, 0.44643, 0.08568, 0.69073  
0.10400, 0.37825, 0.33684, -0.23296, 0.47457, 0.02895, 0.76954  
0.10500, -0.07145, 0.24118, 0.06464, 0.25013, 0.01411, 0.81095  
0.10600, 0.05676, 0.59290, 0.02699, 0.54577, 0.06330, 0.71310  
0.10700, -0.06771, 1.17601, -0.28582, 0.24366, 0.07113, 0.81413  
0.10800, -0.22190, 1.10706, -0.25141, 0.09274, 0.03038, 0.79525  
0.10900, -0.39833, 0.87881, -0.10942, 0.39488, 0.05877, 0.76324  
0.11000, -0.22625, 0.99810, -0.25801, 0.00809, 0.10656, 0.83754  
0.11100, -0.28225, 1.30781, -0.17174, 0.24204, -0.03571, 0.65268  
0.11200, 0.00622, 1.19457, -0.11045, 0.24412, -0.03471, 0.78772  
0.11300, -0.07780, 1.00174, 0.16748, 0.12039, 0.07772, 0.83088  
0.11400, 0.28059, 1.15528, 0.03912, 0.45645, -0.00647, 0.72521  
0.11500, -0.39600, 1.18898, 0.23659, 0.10077, -0.04150, 0.75054  
0.11600, -0.61155, 0.97067, 0.30462, 0.03941, 0.02478, 0.75615  
0.11700, 0.48290, 0.68607, 0.18187, 0.23857, 0.02556, 0.75991  
0.11800, -0.60705, 1.41502, 0.25303, 0.21536, -0.02645, 0.77888  
0.11900, -0.10248, 1.53700, 0.16211, 0.24288, 0.07748, 0.83702  
0.12000, -0.52105, 0.71230, 0.48159, 0.07442, -0.06124, 0.74505  
0.12100, -0.58554, 0.78266, 0.70065, 0.21328, -0.04473, 0.71894  
0.12200, 0.01289, 1.16892, 0.58136, 0.31338, -0.04223, 0.75424  
0.12300, -0.47668, 0.90628, 0.70492, 0.26012, -0.01827, 0.81224  
0.12400, -0.26646, 0.17778, 0.86571, 0.16983, -0.02871, 0.80645  
0.12500, -0.35116, 0.20418, 0.97670, 0.21559, -0.01787, 0.76246  
0.12600, -0.27061, 0.52250, 1.04546, 0.03963, 0.02283, 0.81367  
0.12700, -0.27599, 0.33604, 1.16024, 0.16577, -0.05953, 0.80006  
0.12800, 0.11545, 0.27281, 1.18534, 0.39547, 0.02710, 0.85728  
0.12900, -1.06562, 0.50140, 1.13111, -0.05577, 0.02672, 0.91784  
0.13000, -0.17725, 0.58481, 0.59633, 0.39871, 0.17841, 0.98040  
0.13100, -1.09604, 0.69403, 0.79998, 0.47291, 0.10908, 1.02552  
0.13200, -1.08427, 1.15900, 1.51705, 0.38744, 0.11909, 0.98673  
0.13300, -1.49511, 2.11847, 2.49645, 0.31471, 0.04145, 1.04380  
0.13400, -0.17731, 2.25992, 3.09059, 0.36430, -0.03302, 0.95398  
0.13500, -0.05331, 1.87422, 3.27335, 0.43285, -0.09085, 0.80986  
0.13600, -1.00893, 3.54965, 3.26321, 0.05489, 0.15503, 0.93075  
0.13700, -0.96216, 3.08863, 3.45930, 0.30739, -0.15844, 0.70360  
0.13800, -0.32930, 1.07393, 3.73158, 0.48147, -0.27788, 0.98076  
0.13900, -0.56164, 1.49668, 3.83698, 0.22840, -0.12577, 0.89725  
0.14000, -1.14985, 2.43454, 3.29771, 0.20544, -0.16388, 1.02829  
0.14100, -0.65241, 1.53654, 3.13231, 0.18997, -0.19213, 0.85793  
0.14200, -1.20840, 0.56965, 3.49403, 0.05281, -0.25972, 0.90504  
0.14300, -0.59986, 0.55635, 3.23896, 0.27821, -0.21273, 0.87847  
