time, x0, y0, z0, x1, y1, z1 
0.03067, -0.00824, -0.82226, 0.55141, 0.00000, 0.00000, -nan  
0.03118, -0.01318, -0.82161, 0.55071, 0.00000, 0.00000, -nan  
0.03167, -0.01204, -0.81964, 0.55037, 0.00000, 0.00000, -nan  
0.03267, -0.01047, -0.82352, 0.55159, 0.00000, 0.00000, -nan  
0.03313, -0.00984, -0.82109, 0.55199, 0.00000, 0.00000, -nan  
0.03365, -0.00940, -0.82306, 0.55162, 0.00000, 0.00000, -nan  
0.03414, -0.00956, -0.82455, 0.55174, 0.00000, 0.00000, -nan  
0.03461, -0.00908, -0.82010, 0.54974, 0.00000, 0.00000, -nan  
0.03513, -0.01251, -0.82045, 0.54873, 0.00000, 0.00000, -nan  
0.03563, -0.01198, -0.82340, 0.54764, 0.00000, 0.00000, -nan  
0.03612, -0.01091, -0.82281, 0.54974, 0.00000, 0.00000, -nan  
0.03663, -0.00805, -0.82466, 0.55426, 0.00000, 0.00000, -nan  
0.03714, -0.00921, -0.82413, 0.55065, 0.00000, 0.00000, -nan  
0.03760, -0.01070, -0.82201, 0.55065, 0.00000, 0.00000, -nan  
0.03811, -0.01266, -0.82201, 0.54741, 0.00000, 0.00000, -nan  
0.03862, -0.01072, -0.82130, 0.54850, 0.00000, 0.00000, -nan  
0.03913, -0.01095, -0.82584, 0.54897, 0.00000, 0.00000, -nan  
0.04012, -0.01165, -0.82367, 0.54939, 0.00000, 0.00000, -nan  
0.04056, -0.01089, -0.82756, 0.54890, 0.00000, 0.00000, -nan  
0.04106, -0.01059, -0.82680, 0.55147, 0.00000, 0.00000, -nan  
0.04157, -0.01062, -0.82558, 0.55218, 0.00000, 0.00000, -nan  
0.04208, -0.01183, -0.82151, 0.54846, 0.00000, 0.00000, -nan  
0.04257, -0.00982, -0.82207, 0.54998, 0.00000, 0.00000, -nan  
0.04308, -0.00656, -0.82134, 0.55035, 0.00000, 0.00000, -nan  
0.04353, -0.00504, -0.82218, 0.55128, 0.00000, 0.00000, -nan  
0.04405, -0.00784, -0.82527, 0.54850, 0.00000, 0.00000, -nan  
0.04454, -0.01144, -0.82399, 0.54867, 0.00000, 0.00000, -nan  
0.04554, -0.01087, -0.82132, 0.55080, 0.00000, 0.00000, -nan  
0.04602, -0.01177, -0.81980, 0.54968, 0.00000, 0.00000, -nan  
0.04702, -0.01076, -0.82424, 0.54924, 0.00000, 0.00000, -nan  
0.04749, -0.01139, -0.82382, 0.54976, 0.00000, 0.00000, -nan  
0.04801, -0.01179, -0.82504, 0.54838, 0.00000, 0.00000, -nan  
0.04900, -0.01139, -0.81982, 0.54678, 0.00000, 0.00000, -nan  
0.04952, -0.00956, -0.82193, 0.54903, 0.00000, 0.00000, -nan  
0.05000, -0.01146, -0.82207, 0.54880, 0.00000, 0.00000, -nan  
0.05050, -0.01221, -0.81940, 0.54569, 0.00000, 0.00000, -nan  
0.05099, -0.00978, -0.82020, 0.54850, 0.00000, 0.00000, -nan  
0.05146, -0.00931, -0.82174, 0.54823, 0.00000, 0.00000, -nan  
0.05200, -0.00763, -0.82537, 0.55027, 0.00000, 0.00000, -nan  
0.05246, -0.01081, -0.82331, 0.55084, 0.00000, 0.00000, -nan  
0.05298, -0.01268, -0.82390, 0.55029, 0.00000, 0.00000, -nan  
0.05346, -0.01335, -0.82293, 0.54827, 0.00000, 0.00000, -nan  
0.05396, -0.01341, -0.82541, 0.55155, 0.00000, 0.00000, -nan  
0.05447, -0.00874, -0.82264, 0.55069, 0.00000, 0.00000, -nan  
0.05494, -0.00980, -0.82127, 0.54775, 0.00000, 0.00000, -nan  
0.05545, -0.01219, -0.82151, 0.54924, 0.00000, 0.00000, -nan  
0.05596, -0.01247, -0.82294, 0.54956, 0.00000, 0.00000, -nan  
0.05642, -0.01173, -0.82094, 0.54815, 0.00000, 0.00000, -nan  
0.05692, -0.01127, -0.82174, 0.54914, 0.00000, 0.00000, -nan  
0.05743, -0.00914, -0.82211, 0.55037, 0.00000, 0.00000, -nan  
0.05793, -0.00910, -0.82079, 0.55107, 0.00000, 0.00000, -nan  
0.05843, -0.00763, -0.82180, 0.54981, 0.00000, 0.00000, -nan  
0.05944, -0.00744, -0.82510, 0.55002, 0.00000, 0.00000, -nan  
0.05989, -0.01026, -0.82308, 0.55140, 0.00000, 0.00000, -nan  
0.06039, -0.01049, -0.82378, 0.55063, 0.00000, 0.00000, -nan  
0.06089, -0.01053, -0.81816, 0.55223, 0.00000, 0.00000, -nan  
0.06140, -0.00967, -0.81999, 0.54979, 0.00000, 0.00000, -nan  
0.06189, -0.00999, -0.82460, 0.55223, 0.00000, 0.00000, -nan  
0.06238, -0.01034, -0.82468, 0.55044, 0.00000, 0.00000, -nan  
0.06286, -0.00723, -0.82354, 0.54958, 0.00000, 0.00000, -nan  
0.06335, -0.00824, -0.82174, 0.55065, 0.00000, 0.00000, -nan  
0.06385, -0.00547, -0.82100, 0.55256, 0.00000, 0.00000, -nan  
0.06449, -0.01118, -0.82273, 0.55170, 0.00000, 0.00000, -nan  
0.06533, -0.01017, -0.82462, 0.55338, 0.00000, 0.00000, -nan  
0.06633, -0.01112, -0.82148, 0.54989, 0.00000, 0.00000, -nan  
0.06686, -0.00977, -0.82125, 0.54754, 0.00000, 0.00000, -nan  
0.06735, -0.00927, -0.81955, 0.54920, 0.00000, 0.00000, -nan  
0.06782, -0.01060, -0.82176, 0.54937, 0.00000, 0.00000, -nan  
0.06836, -0.01118, -0.81909, 0.54884, 0.00000, 0.00000, -nan  
0.06883, -0.00906, -0.81995, 0.55088, 0.00000, 0.00000, -nan  
0.06930, -0.00772, -0.82096, 0.55069, 0.00000, 0.00000, -nan  
0.06984, -0.00811, -0.82012, 0.55206, 0.00000, 0.00000, -nan  
0.07031, -0.00874, -0.81955, 0.55065, 0.00000, 0.00000, -nan  
0.07080, -0.00687, -0.82052, 0.54983, 0.00000, 0.00000, -nan  
0.07183, -0.01043, -0.82243, 0.54962, 0.00000, 0.00000, -nan  
0.07231, -0.00797, -0.82367, 0.54941, 0.00000, 0.00000, -nan  
0.07280, -0.00767, -0.82369, 0.54943, 0.00000, 0.00000, -nan  
0.07337, -0.00687, -0.81856, 0.54928, 0.00000, 0.00000, -nan  
0.07385, -0.00969, -0.82064, 0.54890, 0.00000, 0.00000, -nan  
0.07443, -0.00902, -0.82008, 0.54951, 0.00000, 0.00000, -nan  
0.07479, -0.00866, -0.82094, 0.54951, 0.00000, 0.00000, -nan  
0.07534, -0.01043, -0.82279, 0.55002, 0.00000, 0.00000, -nan  
0.07578, -0.00759, -0.82102, 0.55168, 0.00000, 0.00000, -nan  
0.07638, -0.01213, -0.82142, 0.55262, 0.00000, 0.00000, -nan  
0.07682, -0.01198, -0.81863, 0.55178, 0.00000, 0.00000, -nan  
0.07731, -0.00921, -0.82075, 0.54741, 0.00000, 0.00000, -nan  
0.07784, -0.00902, -0.82073, 0.54718, 0.00000, 0.00000, -nan  
0.07827, -0.01122, -0.82195, 0.54626, 0.00000, 0.00000, -nan  
0.07875, -0.00923, -0.82285, 0.55023, 0.00000, 0.00000, -nan  
0.07941, -0.00952, -0.82294, 0.55239, 0.00000, 0.00000, -nan  
0.07975, -0.00734, -0.82375, 0.55172, 0.00000, 0.00000, -nan  
0.08038, -0.00719, -0.82270, 0.54924, 0.00000, 0.00000, -nan  
0.08076, -0.00580, -0.82350, 0.55208, 0.00000, 0.00000, -nan  
